State,City,Hospital,Address,Pin_Code
Maharashtra,Mumbai,"Breach Candy Hospital, Mumbai","60-A, Bhulabhai Desai Road, Breach Candy, Mumbai, Maharashtra, Phone- (022) 23667788, 23672888, 23671888, Emergency: (022) 23667890",400026
Maharashtra,Mumbai,Lokmanya Tilak Municipal General Hospital,"Dr Babasaheb Ambedkar Rd, RB2 Central Railway Quarters, Sion West, Sion, Mumbai, Maharashtra 400022",400022
Maharashtra,Mumbai,Apex Superspeciality Hospitals,"Lokmanya Tilak Rd, beside Punjab & Sind Bank, Babhai Naka, Borivali West, Mumbai, Maharashtra 400092",400092
Maharashtra,Mumbai,Wockhardt Hospital,"Police Station, 1877 Doctor Anandrao Nair Marg Near Agripada, Mumbai Central, Mumbai, Maharashtra 400011",400011
Maharashtra,Mumbai,Tata Memorial Hospital,"Dr. E Borges Road, Parel, Mumbai, Maharashtra, Phone- (022) 24177000, 24146750",400012
Maharashtra,Mumbai,Jaslok Hospital And Medical Research Institute,"15,Dr.G.Deshmukh Marg, Pedder Road, Cumballa Hill, Mumbai, Maharashtra, Phone- (022) 66573010, Emergency: 66573333",400026
Maharashtra,Mumbai,Galaxy Multispecialty Hospital,"2, Shaikh Misree Marg, KP Munot Nagar Nagar, Antop Hill, Mumbai, Maharashtra 400037",400037
Maharashtra,Mumbai,Masina Hospital,"Sant Savta Mali Marg, Near Gloria School, Near Byculla Railway Station (East) Mumbai- 400027",400027
Maharashtra,Mumbai,Prince Aly Khan Hospital,"Aga Hall, Nesbit Rd, Tara Bagh, Mazagon, Mumbai, Maharashtra 400010",400010
Maharashtra,Pune,"Sahyadri Hospital, Hadapsar","SN 163, Bhosale Garden Rd, beside Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028",411028
Maharashtra,Pune,Jehangir Hospital,"32, Sasoon Road Opposite Railway Station, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001",411001
Maharashtra,Pune,Global Hospital & Research Institute,"577/2, Off Sinhgad Road, Police Chaoki Rd, Near Dattawadi, Dattawadi, Pune, Maharashtra 411030",411030
Maharashtra,Pune,Ruby Hall Clinic,"40, Sasoon Rd, Sangamvadi, Pune, Maharashtra 411001",411001
Maharashtra,Pune,Yashwantrao Chavan Memorial Hospital,"YCM Hospital Rd, Sant Tukaram Nagar, Pimpri Colony, Pune, Maharashtra 411018",411018
Maharashtra,Pune,Inlaks & Budhrani Hospital,"7-9, 1st Ln, Vasani Nagar, Koregaon Park, Pune, Maharashtra 411001",411001
Maharashtra,Pune,Smt Kashibai Navale Medical College and Hospital,"S.No, 49/1, Mumbai Pune Bypass Rd, Narhe, Pune, Maharashtra 411041",411041
Maharashtra,Pune,"Lokmanya Hospital ,Nigdi","Tilak Rd, Sector No. 24, Pradhikaran, Nigdi, Pune, Maharashtra 411044",411044
Maharashtra,Pune,Dr. Naidu Hospital,"Behind Pune Main Railway station, Off, Wellesley Rd, 411001",411001
Maharashtra,Pune,Kem Hospital,"489 Rasta Peth, Sardar Moodliar Road, Pune,Maharashtra,Phone- (020) 66037300",411011
Maharashtra,Pune,"Imax Hospital, Wagholi","Pune Nagar Road, Kesnand Phata Chowk, Sant Tukaram Nagar, Wagholi, Maharashtra 412207",412207
Maharashtra,Pune,Aditya Birla Memorial Hospital,"Aditya Birla Hospital Marg, Chinchwad, Pune, Maharashtra, Phone- (020) 30717615, 30717500, 30717501, Emergency: (020) 30717777, 40707777",411033
Maharashtra,Pune,Sahyadri Hospital,"30C, Erandawane, Karve Road, Deccan Gymkhana, Pune, Maharashtra, Phone- (020) 67213000, 25403040",411004
Maharashtra,Pune,Deenanth Mangeshkar Hospital,"Near, Deenanath Mangeshkar Hospital Road, Mhatre Bridge, Erandwane, Pune, Maharashtra 411004",411004
Maharashtra,Pune,"Columbia Asia Hospital, Pune","22/2A, Near Nyati Empire,Kharadi Bypass Road, Kharadi,Pune, Maharashtra, Phone- (020) 71290222",410014
Maharashtra,Pune,Sassoon General Hospital,"Station Rd, Agarkar Nagar, Pune, Maharashtra 411001",411001
Maharashtra,Thane,Kalsekar Hospital,"Opposite Kalsekar Degree College, Dawla Village, Kausa, Mumbra, Thane, Maharashtra 400612",400612
Maharashtra,Thane,Bhaktivedanta Hospital,"Shrishti Complex, Bhaktivedanta Swami Marg, Mira Road (East), Thane, Maharashtra, Phone- (022) 29452500",401107
Maharashtra,Thane,S.S. Hospital ,"Pavanputra Enclave, Thane - Bhiwandi Rd, Opp. Jain Temple, District, Kalher, Bhiwandi, Maharashtra 421302",421302
Maharashtra,Thane,Thunga Hospital,"Mira Bhayander Road, Mira Road (E), Thane, Maharashtra 401107",401107
Maharashtra,Thane,Aarogyam Multispeciality Hospital,"3, Pant Ram Marathe Path, Daulat Nagar, Thane East, Thane, Maharashtra 400603",400063
Maharashtra,Thane,Bethany Hospital,"Pokharan Rd Number 2, Shastri Nagar, Thane West, Thane, Maharashtra 400606",400606
Maharashtra,Thane,Vedant Hospital ,"Thane West, Thane, Maharashtra 400607",400607
Maharashtra,Thane,Sunshine Hospital,"C19 Plot No. 3 Sector 16, Opp. Sea Breeze Society, Dharshana Society, Nerul, Navi Mumbai, Maharashtra 400706",400706
Maharashtra,Thane,Terna Hospital," Plot no 12, Sector 22 Railway Station, opp. Nerul, Nerul West, Navi Mumbai, Maharashtra 400706",400706
Maharashtra,Thane,NMMC Hospital,"Juhu Chowpatty Marg, near St. Mary Church, Juhu Nagar, Sector 10A, Vashi, Navi Mumbai, Maharashtra 400703",400703
Maharashtra,Thane,Kaushalya Hospital,"Namdev Wadi, opp. Nitin Company, Ramabai Ambedkar Nagar, Ganeshwadi, Thane West, Thane, Maharashtra 400601",400601
Maharashtra,Thane,Prime Horizon Hospital ,"Vibgyor, B- Wing, Patlipada, Ghodbunder Rd, near Hiranandani Estate, behind Ritu Nissan Showroom, Thane West, Maharashtra 400607",400607
Maharashtra,Thane,Wockhardt Hospitals,"The Umrao IMSR, Near Railway Station, Mira Road, Mira Bhayandar, Maharashtra 401107",401107
Maharashtra,Thane,PKC Hospital,"Plot no. 57, PKC Road, Sector 15 A, Vashi, Navi Mumbai, Maharashtra 400705",400705
Maharashtra,Thane,Apollo Hospital,"Plot # 13, Parsik Hill Rd, Sector 23, CBD Belapur, Navi Mumbai, Maharashtra 400614",400614
Maharashtra,Thane,Civil Hospital,"Shankar Rao Pednekar Road, Opposite Police Quarter, Tembhi Naka, Thane West, Thane, Maharashtra 400601",400601
Maharashtra,Thane,New Manak Hospital,"Plot No. 2, Sector – 8, Phase II, Near Rajiv Gandhi Bridge, Nerul West, Navi Mumbai, Maharashtra 400706",400706
Maharashtra,Thane,Lake City Hospital,"Jai Siddhivinayak Premises, Ground Floor, Cadbury Junction, Khopat Rd, Thane West, Thane, Maharashtra 400602",400602
Maharashtra,Thane,Metropol Multispeciality Hospital,"02, 2nd Floor, Soham Plaza North East, Ghodbunder Rd, Thane West, Thane, Maharashtra 400601",400601
Maharashtra,Thane,Param Hospital ,"2nd floor golden Park, Next to Wood Plaza, LBS Rd, Gokul Nagar, Thane West, Thane, Maharashtra 400601",400601
Maharashtra,Thane,Siddhivinayak Maternity and General Hospital,"S1, 2nd floor, Vedant Complex,, Above Nisarg Hotel, Vartak Nagar, Thane (W, Thane, Maharashtra 400606",400606
Maharashtra,Thane,Bilal Hospital and ICU,"1st Floor, A Wing Royal Garden, Old, Mumbai - Pune Rd, near Shimla Park, Mumbra, Thane, Maharashtra 400612",400612
Maharashtra,Thane,Dr. D Y Patil Ayurvedic Hospital,"Sector 7, Nerul, Navi Mumbai, Maharashtra 400706",400706
Maharashtra,Thane,Swayam Hospital,"Ground Floor, Tiara Commercial Complex, Pokharan Rd Number 2, Vasant Vihar, Thane, Maharashtra 400610",400610
Maharashtra,Thane,Pandit Bhimsen Joshi / Tembha Hospital,"Swami Satyanand Maharaj Rd, Near Maxus Mall, Bhayandar, Chandmal Nagar, Bhayandar West, Mira Bhayandar, Maharashtra 401101",401101
Maharashtra,Thane,Titan Hospital,"Soham Plaza (North East), Ghodbandar Road, Near Tikujini Wadi Manpada, Bhavani Nagar, Thane West, Thane, Maharashtra 400601",400601
